idx,umap_x,umap_y,cluster,scaffold
0,8.066677,5.7676773,0,c1ccc(COC2CCCC(COC3CCCCO3)O2)cc1
1,11.183737,-0.07857184,0,O=C(Nc1ccccc1)c1ccoc1
2,9.136067,4.8905864,0,acyclic_CC(C)=CCCC(C)=CC=O
3,9.648026,-3.4193094,0,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
4,8.332751,0.28000668,0,c1ccsc1
5,9.948768,-2.0513866,0,c1ccc2scnc2c1
6,6.146837,-2.0953043,0,c1ccc(-c2ccccc2)cc1
7,4.8996263,2.6370149,0,c1ccc2c(c1)CCC1C2CCC2CCCC21
8,7.3424044,2.935147,0,C1=CC2CC1C1C3CC(C4OC34)C21
9,8.743063,0.7770013,0,O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3
10,6.2613397,1.7381072,0,O=C1CCCN1
11,6.424618,-2.3701713,0,c1ccc2ccccc2c1
12,9.538514,5.5590715,0,acyclic_C=CCCC
13,5.370899,0.60330176,0,O=C1NCNC(=O)C1c1ccccc1
14,10.519252,8.788818,0,acyclic_CCCCCCCCCCCCCC
15,11.267329,5.3263297,0,acyclic_CC(C)Cl
16,10.987528,6.1329794,0,acyclic_CCC(C)CO
17,10.350196,-1.1413248,0,c1ccccc1
18,9.732512,2.3244598,0,c1cncnc1
19,11.437884,7.097371,1,acyclic_CCCCCCCCCC(C)O
20,5.2265477,-2.3626063,0,c1ccc(-c2ccccc2)cc1
21,6.1359234,1.7969079,0,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
22,9.891494,2.4972045,0,acyclic_CCOP(=S)(OCC)SCSCC
23,11.4573145,0.33989757,0,c1ccccc1
24,14.524342,1.4851072,2,c1ccccc1
25,12.348235,8.147627,1,acyclic_CCCCCCCO
26,7.0504327,0.835284,0,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
27,4.880098,0.99723625,0,O=C1CC(=O)NC(=O)N1
28,6.0898995,-2.9076385,0,C=C(c1ccccc1)c1ccccc1
29,11.855399,3.1164954,0,acyclic_CCCCCCCC(=O)OC
30,9.579508,-0.55480176,0,c1ccccc1
31,9.907421,2.6026275,0,acyclic_CCOP(=S)(OCC)SCSC(C)(C)C
32,11.074025,0.7472159,0,O=C(Nc1ccccc1)Oc1ccccc1
33,8.275088,3.7248602,0,acyclic_C=C(Cl)Cl
34,8.498329,-2.0829797,0,c1ccc2c(c1)Cc1ccccc1-2
35,10.394826,8.423383,0,acyclic_CCCCC=O
36,10.440586,-1.121399,0,c1ccc(Nc2ccccc2)cc1
37,10.690657,0.4814492,0,c1ccccc1
38,9.891739,2.7301314,0,C1CCNCC1
39,10.493176,8.690794,0,acyclic_CCCCCCCI
40,6.402324,-2.256419,0,c1ccc(-c2ccccc2)cc1
41,8.921151,4.849851,0,acyclic_C=CCCCO
42,5.5847716,1.3382617,0,O=C1NC(=O)C2(CCC2)C(=O)N1
43,5.955358,3.007915,0,C1CCCCC1
44,10.987151,4.987692,0,acyclic_CC(C)OC=O
45,11.427951,7.0831127,1,acyclic_CCCCCC(C)O
46,11.457615,0.17412946,0,c1ccccc1
47,9.452944,-1.5827267,0,O=c1cccnn1-c1ccccc1
48,14.501551,0.70042187,2,C1=CC(c2ccccc2)C=CN1
49,8.087673,-1.5071507,0,c1ccc2ncccc2c1
50,10.92742,8.768607,0,acyclic_C#CCCCCCC
51,5.2278028,1.0540936,0,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1
52,9.619705,-3.4276533,0,c1ccc2c(c1)ccc1c3ccccc3ccc21
53,6.3834624,1.2399188,0,O=c1cc[nH]c(=O)[nH]1
54,6.214855,-1.932127,0,c1ccc(-c2ccccc2)cc1
55,8.530881,-1.7595695,0,c1ccccc1
56,11.288466,5.5496697,0,acyclic_CC(C)CCC(C)(C)C
57,8.582047,-2.1926963,0,c1ccc2ccccc2c1
58,8.925124,-3.2739549,0,c1ccc2c(c1)ccc1c3ccccc3ccc21
59,10.808741,3.4880702,0,acyclic_CCCC(C)=O
60,6.159985,-1.3909844,0,c1ccc(-c2ccccc2)cc1
61,10.913804,3.2196045,0,acyclic_CCCOC(=O)CC
62,3.114035,3.6460302,3,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
63,8.900771,-0.53346163,0,c1ccccc1
64,14.161916,0.64268935,2,O=C(Cn1ccnc1)NCc1ccccc1
65,6.1367755,-2.7509978,0,O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21
66,10.033211,7.025301,0,c1ncncn1
67,7.9829564,0.40272173,0,c1cnccn1
68,10.511016,3.30098,0,acyclic_CCC(Br)(CC)C(=O)NC(N)=O
69,6.5367637,-2.2276132,0,c1ccc(-c2ccccc2)cc1
70,14.66696,0.95894074,2,O=C1CN(N=Cc2ccco2)C(=O)N1
71,14.2995615,0.7101089,2,c1ccc(Oc2ccccc2)cc1
72,5.769759,2.4762027,0,O=C1CC2CCC1C2
73,5.304237,0.6263237,0,O=C1NC(=O)C(c2ccccc2)C(=O)N1
74,11.675875,3.0487487,0,acyclic_CCCCC(=O)OCC
75,10.565052,4.1438622,0,acyclic_CC(=O)OCCC(C)C
76,11.8123865,1.9377817,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
77,5.4007134,-2.409675,0,c1ccc(-c2ccccc2)cc1
78,9.090456,6.0297966,0,acyclic_CCCBr
79,5.181101,-2.1484106,0,c1ccc(C2(Cn3cncn3)OCCO2)cc1
80,9.998464,2.856905,0,acyclic_COP(=S)(OC)SCC(=O)N(C)C=
81,7.883744,-0.068152346,0,c1cnc2ncncc2n1
82,8.655013,3.7055652,0,acyclic_NC(N)=S
83,8.109053,-1.5016181,0,c1ccccc1
84,10.6150055,-0.9151923,0,c1ccccc1
85,7.724621,3.6001425,0,acyclic_ClC(Cl)(Cl)C(Cl)(Cl)Cl
86,12.094414,-1.0167408,4,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1
87,13.974598,1.7691412,2,acyclic_CCC[N+](=O)[O-]
88,5.978684,2.3532953,0,O=C1CCCCC1
89,11.817738,-2.8107538,0,O=C1Nc2ccccc2Nc2ncccc21
90,14.596782,0.8493703,2,c1ccccc1
91,4.6091876,0.7026175,0,O=C1CC(=O)NC(=S)N1
92,9.908863,-3.0485368,0,c1ccc2c(c1)-c1cccc3cccc-2c13
93,11.394973,5.967018,0,acyclic_CCCOC(C)C
94,8.843778,-3.3016117,0,c1ccc2ccccc2c1
95,9.077992,-0.51413107,0,C(=Cc1ccccc1)c1ccccc1
96,7.6208634,3.2263544,0,c1ccccc1
97,5.1191273,-2.478373,0,c1ccc(-c2ccccc2)cc1
98,10.311878,-1.590947,0,c1ccc(C2CO2)cc1
99,10.148897,-0.95117235,0,c1ccccc1
100,3.296524,3.0468829,3,O=C1C=C2CCC3C4CCCC4CCC3C2CC1
101,7.819612,0.4431516,0,c1ccc2nccnc2c1
102,6.3247905,3.1674604,0,C1CCOCC1
103,7.817755,3.9875379,0,acyclic_ClCCl
104,9.5429535,-3.4717236,0,c1ccc2ccccc2c1
105,9.160006,4.3085313,0,acyclic_COC=O
106,14.594207,0.6500063,2,c1ccccc1
107,6.944895,0.7781249,0,O=c1cc[nH]c(=O)[nH]1
108,11.380155,5.2742724,0,acyclic_CC(C)C
109,8.091886,5.7366366,0,c1ncc2ncn(C3CCCO3)c2n1
110,8.562316,-0.90442497,0,c1ccccc1
111,14.475412,0.85186994,2,O=C(Nc1ccccc1)c1ccccc1
112,10.629753,8.629785,0,acyclic_CCCCC
113,9.837836,-0.7483687,0,c1ccccc1
114,9.6467905,-2.8046832,0,c1ccc2cc3ccccc3cc2c1
115,7.0826097,0.80135703,0,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
116,9.951349,-2.3023152,0,c1ccc2cnccc2c1
117,10.138572,2.4369946,0,c1ccccc1
118,10.917663,-0.8488595,0,c1ccccc1
119,6.4749026,-2.2969685,0,c1ccc(-c2ccccc2)cc1
120,9.449409,6.0364575,0,acyclic_C=C(C)CCC
121,11.251384,5.281027,0,acyclic_CC(C)C(C)C(C)C
122,6.135707,-1.340991,0,c1ccccc1
123,14.598444,0.7832704,2,c1ccccc1
124,10.15385,8.308875,0,acyclic_C=CCCCCCCCC
125,10.513668,4.1146216,0,acyclic_CC(=O)OCC(COC(C)=O)OC(C)
126,11.739189,7.8335633,1,c1cncnc1
127,12.117086,-1.0544652,4,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
128,8.180701,0.18440239,0,c1ccncc1
129,10.601798,8.903318,0,acyclic_CCCCCCCBr
130,8.115789,-1.1828959,0,c1ccncc1
131,3.2307491,3.3091526,3,O=C1C=C2CCC3C4CCCC4CCC3C2CC1
132,10.878475,0.83986545,0,c1ccccc1
133,10.794525,3.105375,0,acyclic_CCOC(=O)CC(=O)OCC
134,6.085105,2.471937,0,C1=CCCCC1
135,10.250601,-1.7175055,0,c1ccc2c(c1)CCC2
136,8.961966,-0.6430754,0,c1ccccc1
137,5.5180073,1.2924104,0,O=C1NC(=O)C2(CC2)C(=O)N1
138,6.2370515,-2.1810899,0,c1ccccc1
139,9.743988,-3.376237,0,c1ccc2ccccc2c1
140,9.397109,5.730944,0,acyclic_C/C=C/CC
141,8.474396,-1.9488323,0,c1ccncc1
142,8.434205,3.9283109,0,acyclic_ClC=C(Cl)Cl
143,9.726992,-3.39879,0,c1ccc2ccccc2c1
144,8.131983,-1.7805426,0,c1ccccc1
145,8.017373,0.092390664,0,c1cnc2ncncc2n1
146,8.716255,3.880999,0,acyclic_CO
147,4.6589494,0.77747655,0,O=C1CC(=O)NC(=O)N1
148,10.719465,3.561438,0,acyclic_CCC(C)=O
149,6.7563186,1.0457556,0,O=c1cc[nH]c(=O)[nH]1
150,8.173893,5.706366,0,c1ncc2ccn(C3CCCO3)c2n1
151,9.077497,-0.9207705,0,c1ccccc1
152,12.309387,8.138843,1,acyclic_CCCCCCO
153,10.842879,8.90945,0,acyclic_CCCCCCl
154,8.848449,4.5737,0,acyclic_C=CC=C
155,10.757579,3.2385504,0,acyclic_CCCOC(C)=O
156,8.750043,-0.5086471,0,c1ccc2c(c1)CCCC2
157,8.589431,3.7221868,0,acyclic_NC(=O)CCl
158,9.3524475,1.8414785,0,c1ccccc1
159,6.0686536,-3.0286407,0,c1ccccc1
160,6.770329,1.0095165,0,O=c1cnnc[nH]1
161,8.255697,-1.7917035,0,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
162,10.204672,8.335576,0,acyclic_CCCCCC=O
163,11.145195,1.6209991,0,c1ccccc1
164,7.244877,0.3667631,0,O=C1Nc2ccccc2Oc2ncccc21
165,9.082981,5.208514,0,acyclic_CC(C)=CCC/C(C)=C\CO
166,6.20175,-2.5417585,0,c1ccc(-c2ccccc2)cc1
167,11.874163,2.1092885,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
168,13.994957,1.7173703,2,acyclic_CC[N+](=O)[O-]
169,14.50997,1.522912,2,c1ccccc1
170,6.2327433,-1.6336027,0,c1ccccc1
171,10.772381,3.2629344,0,acyclic_CCCC(C)(COC(N)=O)COC(N)=
172,4.5901484,2.8250182,0,C1=C2CCCCC2C2CCC3CCCC3C2C1
173,8.558405,3.7266402,0,acyclic_CI
174,6.0961485,2.068489,0,O=C1CC(CCC2CCCCC2=O)CC(=O)N1
175,11.874164,2.1402113,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
176,6.102222,2.141048,0,O=C1C=CCCC1
177,4.611992,0.7509118,0,O=C1CC(=O)NC(=O)N1
178,11.275769,3.5035574,0,acyclic_CCCCC(=O)CCCC
179,5.5688863,0.457098,0,O=C1CCC(c2ccccc2)C(=O)N1
180,11.236639,6.030627,0,acyclic_CCC(C)CC
181,10.6837635,-0.72593963,0,c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1
182,8.77556,-2.3064854,0,O=c1c2ccccc2ncn1-c1ccccc1
