model,split,fold,RMSE,MAE,R2
RandomForest_ECFP4,random_cv,0,1.1916400700033545,0.8892951749532834,0.699584283629287
RandomForest_ECFP4,random_cv,1,1.2731105904043198,0.9177586971654856,0.6243179424340427
RandomForest_ECFP4,random_cv,2,1.1947938484760898,0.867700597382655,0.6556076263440993
RandomForest_ECFP4,random_cv,3,1.2402941761835742,0.9211387115736117,0.6511419686721294
RandomForest_ECFP4,random_cv,4,1.15111385107629,0.8856259028709974,0.6876359391262835
XGBoost_Descriptors,random_cv,0,0.9216453935017229,0.6742013892937552,0.8202949978241494
XGBoost_Descriptors,random_cv,1,0.7933957330017877,0.6328025657181191,0.8540957599083631
XGBoost_Descriptors,random_cv,2,0.8023956671151564,0.6095408191005741,0.8446737992617417
XGBoost_Descriptors,random_cv,3,0.9364666538828682,0.7235968158849081,0.8011232786751326
XGBoost_Descriptors,random_cv,4,0.8656614329420057,0.6642658112335206,0.8233471537581043
SVR_Descriptors,random_cv,0,0.678121177221241,0.43068870369227624,0.9027147348057193
SVR_Descriptors,random_cv,1,0.6850761762958392,0.44490149215679575,0.8912157749523038
SVR_Descriptors,random_cv,2,0.6548643995594332,0.41503591980626725,0.8965405100938609
SVR_Descriptors,random_cv,3,0.6418077257944903,0.4284116218304745,0.9065865960314972
SVR_Descriptors,random_cv,4,0.6729640225310229,0.4476108916744584,0.8932400910640023
MLP_ECFP4,random_cv,0,1.537006626176627,1.1113605603079806,0.5002141776857281
MLP_ECFP4,random_cv,1,1.4546408097986623,1.1461100985319237,0.5095443667322277
MLP_ECFP4,random_cv,2,1.5391362063973146,1.1161200829669948,0.4284928356708536
MLP_ECFP4,random_cv,3,1.6307959174403361,1.1917477720039558,0.39688719702546893
MLP_ECFP4,random_cv,4,1.459923623186998,1.090628070594008,0.4975593453696049
KernelRidge_Fused,random_cv,0,3.556734563732696,2.922960058920274,-1.676303507219791
KernelRidge_Fused,random_cv,1,3.668282231201227,3.044393582283179,-2.1189878028473097
KernelRidge_Fused,random_cv,2,3.503547414367423,2.9506236118671274,-1.9613079219591327
KernelRidge_Fused,random_cv,3,3.3368470887852992,2.7056925043720588,-1.5250613116604392
KernelRidge_Fused,random_cv,4,3.2232497455467515,2.68330978591909,-1.449133252656165
RandomForest_ECFP4,scaffold_cv,0,2.296881823589184,1.9788939916033221,-1.5140391668022857
RandomForest_ECFP4,scaffold_cv,1,1.878371687999345,1.44064607870855,0.46381547035843385
RandomForest_ECFP4,scaffold_cv,2,1.4871493347483768,1.1405694273750542,0.5292507496114207
RandomForest_ECFP4,scaffold_cv,3,1.3237361283933284,0.9729278519815218,0.5694321481362199
RandomForest_ECFP4,scaffold_cv,4,1.27804690784266,0.9579761728797451,0.5910887953417805
XGBoost_Descriptors,scaffold_cv,0,0.720935310071739,0.5615756720557926,0.7523220574235487
XGBoost_Descriptors,scaffold_cv,1,1.0728727512030773,0.8072455496951325,0.8250767078452892
XGBoost_Descriptors,scaffold_cv,2,0.8902606959712793,0.6752086737515175,0.8313000805788997
XGBoost_Descriptors,scaffold_cv,3,0.985680807156207,0.7662573867697234,0.761267604161889
XGBoost_Descriptors,scaffold_cv,4,0.9251527318714748,0.7047238048982183,0.7857295438099976
SVR_Descriptors,scaffold_cv,0,0.7848239035072173,0.6004274824818603,0.7064789979839966
SVR_Descriptors,scaffold_cv,1,0.9776867849591743,0.6192880337466979,0.854738440617758
SVR_Descriptors,scaffold_cv,2,0.7244278799716005,0.5016147075832486,0.8882954696884691
SVR_Descriptors,scaffold_cv,3,0.7744298008839882,0.5409745873512276,0.8526321085774091
SVR_Descriptors,scaffold_cv,4,0.8627506342763165,0.5577516198465193,0.8136600401547968
MLP_ECFP4,scaffold_cv,0,1.6457711544797167,1.2666850581155316,-0.2907247258969561
MLP_ECFP4,scaffold_cv,1,2.338265528023618,1.7743587423320115,0.16911892688135932
MLP_ECFP4,scaffold_cv,2,1.8354647460385134,1.4262175984582175,0.28291181072581273
MLP_ECFP4,scaffold_cv,3,1.6674351971499086,1.2455111383295825,0.31681757538599753
MLP_ECFP4,scaffold_cv,4,1.620725650389002,1.2571549819441319,0.3424111600216232
KernelRidge_Fused,scaffold_cv,0,3.169284344185098,2.832620955658725,-3.786489912938685
KernelRidge_Fused,scaffold_cv,1,4.485992758421802,3.696574552464098,-2.058217353397777
KernelRidge_Fused,scaffold_cv,2,3.5234824440778554,2.8863028130251434,-1.6425590375740944
KernelRidge_Fused,scaffold_cv,3,3.23042505677434,2.646001655698201,-1.5642366108403465
KernelRidge_Fused,scaffold_cv,4,3.1854246859297715,2.623382321345497,-1.5402128334843197
